"name","patients_seen_in_four_hours","attendances_at_ane","emergency_admissions_via_type_1_ae","analysisdate"
"University Hospitals Of Leicester NHS Trust",83.9,2387,744,"2013.11.10"
"Barking, Havering And Redbridge University Hospitals NHS Trust",95.1,3708,896,"2013.11.10"
"Barnet And Chase Farm Hospitals NHS Trust",87.8,2902,518,"2013.11.10"
"Barts Health NHS Trust",94.7,5726,1600,"2013.11.10"
"Chelsea And Westminster Hospital NHS Foundation Trust",97.6,2098,336,"2013.11.10"
"Croydon Health Services NHS Trust",89.4,1320,575,"2013.11.10"
"Ealing Hospital NHS Trust",85.3,899,443,"2013.11.10"
"Epsom And St Helier University Hospitals NHS Trust",96.7,2453,606,"2013.11.10"
"Guy's And St Thomas' NHS Foundation Trust",95,2665,581,"2013.11.10"
"Homerton University Hospital NHS Foundation Trust",94.9,2279,352,"2013.11.10"
"Imperial College Healthcare NHS Trust",91.7,2409,943,"2013.11.10"
"King's College Hospital NHS Foundation Trust",88.1,3959,753,"2013.11.10"
"Kingston Hospital NHS Foundation Trust",96.2,1903,330,"2013.11.10"
"Lewisham And Greenwich NHS Trust",90.1,4011,947,"2013.11.10"
"North Middlesex University Hospital NHS Trust",93.9,2322,408,"2013.11.10"
"North West London Hospitals NHS Trust",92.2,1968,779,"2013.11.10"
"Royal Free London NHS Foundation Trust",97.6,1732,317,"2013.11.10"
"St George's Healthcare NHS Trust",92,2511,951,"2013.11.10"
"The Hillingdon Hospitals NHS Foundation Trust",84.1,975,403,"2013.11.10"
"The Whittington Hospital NHS Trust",96.7,1722,350,"2013.11.10"
"University College London Hospitals NHS Foundation Trust",93.2,2403,276,"2013.11.10"
"West Middlesex University Hospital NHS Trust",97.6,1086,419,"2013.11.10"
"Aintree University Hospital NHS Foundation Trust",93,1479,403,"2013.11.10"
"Alder Hey Children's NHS Foundation Trust",99.3,1038,310,"2013.11.10"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",90.3,1683,489,"2013.11.10"
"Southport And Ormskirk Hospital NHS Trust",92.1,840,257,"2013.11.10"
"St Helens And Knowsley Hospitals NHS Trust",93.1,1686,623,"2013.11.10"
"Harrogate And District NHS Foundation Trust",94.1,818,181,"2013.11.10"
"Hull And East Yorkshire Hospitals NHS Trust",95.2,2212,765,"2013.11.10"
"Northern Lincolnshire And Goole NHS Foundation Trust",95.3,2214,545,"2013.11.10"
"York Teaching Hospital NHS Foundation Trust",89.5,2448,619,"2013.11.10"
"Burton Hospitals NHS Foundation Trust",94,1062,314,"2013.11.10"
"Mid Staffordshire NHS Foundation Trust",93.7,860,254,"2013.11.10"
"Shrewsbury And Telford Hospital NHS Trust",87.8,1767,460,"2013.11.10"
"University Hospital Of North Staffordshire NHS Trust",89.3,2167,813,"2013.11.10"
"Barnsley Hospital NHS Foundation Trust",96.1,1426,352,"2013.11.10"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",96.2,2584,516,"2013.11.10"
"Sheffield Children's NHS Foundation Trust",95.6,987,157,"2013.11.10"
"Sheffield Teaching Hospitals NHS Foundation Trust",93.9,2229,607,"2013.11.10"
"The Rotherham NHS Foundation Trust",94.6,1399,303,"2013.11.10"
"Ashford And St Peter's Hospitals NHS Foundation Trust",93.5,1750,429,"2013.11.10"
"Brighton And Sussex University Hospitals NHS Trust",93,2582,767,"2013.11.10"
"East Sussex Healthcare NHS Trust",93.6,1851,549,"2013.11.10"
"Frimley Park Hospital NHS Foundation Trust",96.7,1822,606,"2013.11.10"
"Royal Surrey County Hospital NHS Foundation Trust",95.3,1155,310,"2013.11.10"
"Surrey And Sussex Healthcare NHS Trust",96.3,1499,565,"2013.11.10"
"Western Sussex Hospitals NHS Foundation Trust",96.3,2451,682,"2013.11.10"
"Buckinghamshire Healthcare NHS Trust",94.7,1496,526,"2013.11.10"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",94.7,1865,632,"2013.11.10"
"Oxford University Hospitals NHS Trust",93.7,2225,651,"2013.11.10"
"Royal Berkshire NHS Foundation Trust",94.2,1859,573,"2013.11.10"
"Dorset County Hospital NHS Foundation Trust",96.1,692,215,"2013.11.10"
"Hampshire Hospitals NHS Foundation Trust",98.1,1765,418,"2013.11.10"
"Isle Of Wight NHS Trust",97.2,678,149,"2013.11.10"
"Poole Hospital NHS Foundation Trust",95,1105,325,"2013.11.10"
"Portsmouth Hospitals NHS Trust",93.8,1933,715,"2013.11.10"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",92.8,1251,342,"2013.11.10"
"University Hospital Southampton NHS Foundation Trust",88.5,1703,418,"2013.11.10"
"Airedale NHS Foundation Trust",97.2,939,213,"2013.11.10"
"Bradford Teaching Hospitals NHS Foundation Trust",97.4,2400,620,"2013.11.10"
"Calderdale And Huddersfield NHS Foundation Trust",94.8,2573,551,"2013.11.10"
"Leeds Teaching Hospitals NHS Trust",97.1,3693,1311,"2013.11.10"
"Mid Yorkshire Hospitals NHS Trust",95.2,4013,977,"2013.11.10"
"George Eliot Hospital NHS Trust",95.8,1167,232,"2013.11.03"
"South Warwickshire NHS Foundation Trust",93.2,968,321,"2013.11.03"
"University Hospitals Coventry And Warwickshire NHS Trust",98.7,2326,887,"2013.11.03"
"Worcestershire Acute Hospitals NHS Trust",96.3,2015,614,"2013.11.03"
"Wye Valley NHS Trust",98.9,821,221,"2013.11.03"
"Gloucestershire Hospitals NHS Foundation Trust",98.7,2135,708,"2013.11.03"
"Great Western Hospitals NHS Foundation Trust",93.5,1284,368,"2013.11.03"
"Royal United Hospital Bath NHS Trust",98.3,1299,471,"2013.11.03"
"Salisbury NHS Foundation Trust",98.7,742,195,"2013.11.03"
"Birmingham Children's Hospital NHS Foundation Trust",97.6,884,216,"2013.11.03"
"Heart Of England NHS Foundation Trust",87.5,4252,1412,"2013.11.03"
"Sandwell And West Birmingham Hospitals NHS Trust",91.3,2595,743,"2013.11.03"
"The Dudley Group NHS Foundation Trust",92.8,1605,434,"2013.11.03"
"The Royal Wolverhampton NHS Trust",95.6,2018,467,"2013.11.03"
"University Hospitals Birmingham NHS Foundation Trust",93.4,1816,467,"2013.11.03"
"Walsall Healthcare NHS Trust",94.8,1701,378,"2013.11.03"
"North Bristol NHS Trust",92.2,1206,388,"2013.11.03"
"Taunton And Somerset NHS Foundation Trust",95.8,1031,311,"2013.11.03"
"University Hospitals Bristol NHS Foundation Trust",97.5,1809,540,"2013.11.03"
"Weston Area Health NHS Trust",82,881,246,"2013.11.03"
"Yeovil District Hospital NHS Foundation Trust",95.3,844,288,"2013.11.03"
"Countess Of Chester Hospital NHS Foundation Trust",95.1,1207,327,"2013.11.03"
"East Cheshire NHS Trust",92.2,846,218,"2013.11.03"
"Mid Cheshire Hospitals NHS Foundation Trust",93.4,1180,239,"2013.11.03"
"Warrington And Halton Hospitals NHS Foundation Trust",96.1,1502,413,"2013.11.03"
"Wirral University Teaching Hospital NHS Foundation Trust",94,1671,560,"2013.11.03"
"City Hospitals Sunderland NHS Foundation Trust",88.2,1223,559,"2013.11.03"
"Gateshead Health NHS Foundation Trust",95.9,1187,327,"2013.11.03"
"North Cumbria University Hospitals NHS Trust",96.7,1250,327,"2013.11.03"
"Northumbria Healthcare NHS Foundation Trust",95.8,2498,655,"2013.11.03"
"South Tyneside NHS Foundation Trust",95.5,1090,274,"2013.11.03"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",98,2193,454,"2013.11.03"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",96.2,1554,436,"2013.11.03"
"Chesterfield Royal Hospital NHS Foundation Trust",98,1193,348,"2013.11.03"
"Derby Hospitals NHS Foundation Trust",97.1,2233,700,"2013.11.03"
"Nottingham University Hospitals NHS Trust",88.7,3194,808,"2013.11.03"
"Sherwood Forest Hospitals NHS Foundation Trust",96.7,1731,476,"2013.11.03"
"Northern Devon Healthcare NHS Trust",91,730,272,"2013.11.03"
"Plymouth Hospitals NHS Trust",97.1,1500,503,"2013.11.03"
"Royal Cornwall Hospitals NHS Trust",98.3,903,382,"2013.11.03"
"Royal Devon And Exeter NHS Foundation Trust",94.7,1750,503,"2013.11.03"
"South Devon Healthcare NHS Foundation Trust",97.3,1382,483,"2013.11.03"
"County Durham And Darlington NHS Foundation Trust",88,2260,723,"2013.11.03"
"North Tees And Hartlepool NHS Foundation Trust",94.6,1217,289,"2013.11.03"
"South Tees Hospitals NHS Foundation Trust",93.7,2298,566,"2013.11.03"
"Cambridge University Hospitals NHS Foundation Trust",95.6,1911,640,"2013.11.03"
"Hinchingbrooke Health Care NHS Trust",98.3,661,170,"2013.11.03"
"Ipswich Hospital NHS Trust",95.2,1448,413,"2013.11.03"
"James Paget University Hospitals NHS Foundation Trust",97.6,1186,243,"2013.11.03"
"Norfolk And Norwich University Hospitals NHS Foundation Trust",97.8,1749,583,"2013.11.03"
"Peterborough And Stamford Hospitals NHS Foundation Trust",95.5,1535,556,"2013.11.03"
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",91.2,985,349,"2013.11.03"
"West Suffolk NHS Foundation Trust",96.5,1000,264,"2013.11.03"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",98.5,2100,409,"2013.11.03"
"Colchester Hospital University NHS Foundation Trust",94.5,1398,439,"2013.11.03"
"Mid Essex Hospital Services NHS Trust",97.7,1459,445,"2013.11.03"
"Southend University Hospital NHS Foundation Trust",98.2,1582,355,"2013.11.03"
"The Princess Alexandra Hospital NHS Trust",94.7,1901,521,"2013.11.03"
"Bolton NHS Foundation Trust",96.2,1916,429,"2013.11.03"
"Central Manchester University Hospitals NHS Foundation Trust",94.3,3179,879,"2013.11.03"
"Pennine Acute Hospitals NHS Trust",94.3,4320,1122,"2013.11.03"
"Salford Royal NHS Foundation Trust",96.8,1547,554,"2013.11.03"
"Stockport NHS Foundation Trust",97.4,1506,482,"2013.11.03"
"Tameside Hospital NHS Foundation Trust",96.2,1314,383,"2013.11.03"
"University Hospital Of South Manchester NHS Foundation Trust",96.1,1601,545,"2013.11.03"
"Wrightington, Wigan And Leigh NHS Foundation Trust",98.4,1568,493,"2013.11.03"
"Bedford Hospital NHS Trust",96.7,1087,216,"2013.11.03"
"East And North Hertfordshire NHS Trust",97.9,2181,570,"2013.11.03"
"Kettering General Hospital NHS Foundation Trust",91,1245,380,"2013.11.03"
"Luton And Dunstable University Hospital NHS Foundation Trust",97.9,1406,457,"2013.11.03"
"Milton Keynes Hospital NHS Foundation Trust",90.9,1425,356,"2013.11.03"
"Northampton General Hospital NHS Trust",93.6,1823,469,"2013.11.03"
"West Hertfordshire Hospitals NHS Trust",93.7,1489,530,"2013.11.03"
"Dartford And Gravesham NHS Trust",97.2,1698,538,"2013.11.03"
"East Kent Hospitals University NHS Foundation Trust",96,2515,726,"2013.11.03"
"Maidstone And Tunbridge Wells NHS Trust",95.9,2227,594,"2013.11.03"
"Medway NHS Foundation Trust",98.7,1662,205,"2013.11.03"
"Blackpool Teaching Hospitals NHS Foundation Trust",96.9,1467,380,"2013.11.03"
"East Lancashire Hospitals NHS Trust",85.8,1826,713,"2013.11.03"
"Lancashire Teaching Hospitals NHS Foundation Trust",92.9,2251,470,"2013.11.03"
"United Lincolnshire Hospitals NHS Trust",97.8,2822,668,"2013.11.03"
"University Hospitals Of Leicester NHS Trust",79.5,2317,767,"2013.11.03"
"Barking, Havering And Redbridge University Hospitals NHS Trust",86.9,3462,857,"2013.11.03"
"Barnet And Chase Farm Hospitals NHS Trust",88.6,2804,491,"2013.11.03"
"Barts Health NHS Trust",94.7,5461,1626,"2013.11.03"
"Chelsea And Westminster Hospital NHS Foundation Trust",98.6,2078,301,"2013.11.03"
"Croydon Health Services NHS Trust",94.1,1199,505,"2013.11.03"
"Ealing Hospital NHS Trust",96.2,811,427,"2013.11.03"
"Epsom And St Helier University Hospitals NHS Trust",97.4,2420,574,"2013.11.03"
"Guy's And St Thomas' NHS Foundation Trust",96.9,2514,554,"2013.11.03"
"Homerton University Hospital NHS Foundation Trust",95.4,2154,297,"2013.11.03"
"Imperial College Healthcare NHS Trust",92.2,2486,904,"2013.11.03"
"King's College Hospital NHS Foundation Trust",87.3,3868,790,"2013.11.03"
"Kingston Hospital NHS Foundation Trust",96.4,1824,333,"2013.11.03"
"Lewisham And Greenwich NHS Trust",90.9,3844,982,"2013.11.03"
"North Middlesex University Hospital NHS Trust",97.9,2228,298,"2013.11.03"
"North West London Hospitals NHS Trust",95.7,1808,702,"2013.11.03"
"Royal Free London NHS Foundation Trust",98.3,1761,332,"2013.11.03"
"St George's Healthcare NHS Trust",95.4,2437,764,"2013.11.03"
"The Hillingdon Hospitals NHS Foundation Trust",92.7,948,395,"2013.11.03"
"The Whittington Hospital NHS Trust",97.4,1624,374,"2013.11.03"
"University College London Hospitals NHS Foundation Trust",95.5,2331,219,"2013.11.03"
"West Middlesex University Hospital NHS Trust",95.7,1035,430,"2013.11.03"
"Aintree University Hospital NHS Foundation Trust",94.1,1514,436,"2013.11.03"
"Alder Hey Children's NHS Foundation Trust",99.7,1007,312,"2013.11.03"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",89.6,1674,485,"2013.11.03"
"Southport And Ormskirk Hospital NHS Trust",92.1,860,265,"2013.11.03"
"St Helens And Knowsley Hospitals NHS Trust",95.2,1790,645,"2013.11.03"
"Harrogate And District NHS Foundation Trust",94,765,184,"2013.11.03"
"Hull And East Yorkshire Hospitals NHS Trust",98.7,2086,681,"2013.11.03"
"Northern Lincolnshire And Goole NHS Foundation Trust",95.7,2093,493,"2013.11.03"
"York Teaching Hospital NHS Foundation Trust",91.1,2403,560,"2013.11.03"
"Burton Hospitals NHS Foundation Trust",96.2,1033,274,"2013.11.03"
"Mid Staffordshire NHS Foundation Trust",89.1,789,200,"2013.11.03"
"Shrewsbury And Telford Hospital NHS Trust",97,1623,415,"2013.11.03"
"University Hospital Of North Staffordshire NHS Trust",92.4,2195,811,"2013.11.03"
"Barnsley Hospital NHS Foundation Trust",96.2,1385,340,"2013.11.03"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",91.7,2517,559,"2013.11.03"
"Sheffield Children's NHS Foundation Trust",97.6,824,160,"2013.11.03"
"Sheffield Teaching Hospitals NHS Foundation Trust",94.9,2220,600,"2013.11.03"
"The Rotherham NHS Foundation Trust",97.4,1267,234,"2013.11.03"
"Ashford And St Peter's Hospitals NHS Foundation Trust",93.8,1692,427,"2013.11.03"
"Brighton And Sussex University Hospitals NHS Trust",94.9,2538,726,"2013.11.03"
"East Sussex Healthcare NHS Trust",96.1,1815,560,"2013.11.03"
"Frimley Park Hospital NHS Foundation Trust",97.3,1747,531,"2013.11.03"
"Royal Surrey County Hospital NHS Foundation Trust",96.5,1143,287,"2013.11.03"
"Surrey And Sussex Healthcare NHS Trust",97.6,1433,460,"2013.11.03"
"Western Sussex Hospitals NHS Foundation Trust",97.8,2365,649,"2013.11.03"
"Buckinghamshire Healthcare NHS Trust",90.8,1419,483,"2013.11.03"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",96.7,1779,604,"2013.11.03"
"Oxford University Hospitals NHS Trust",93.4,2301,699,"2013.11.03"
"Royal Berkshire NHS Foundation Trust",95.4,1794,521,"2013.11.03"
"Dorset County Hospital NHS Foundation Trust",94.9,783,261,"2013.11.03"
"Hampshire Hospitals NHS Foundation Trust",98.1,1685,366,"2013.11.03"
"Isle Of Wight NHS Trust",97,692,151,"2013.11.03"
"Poole Hospital NHS Foundation Trust",95.1,1058,311,"2013.11.03"
"Portsmouth Hospitals NHS Trust",94.9,1772,644,"2013.11.03"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",93.3,1202,311,"2013.11.03"
"University Hospital Southampton NHS Foundation Trust",91.6,1789,404,"2013.11.03"
"Airedale NHS Foundation Trust",98.2,934,228,"2013.11.03"
"Bradford Teaching Hospitals NHS Foundation Trust",96.2,2261,584,"2013.11.03"
"Calderdale And Huddersfield NHS Foundation Trust",94.5,2431,516,"2013.11.03"
"Leeds Teaching Hospitals NHS Trust",98.6,3524,1195,"2013.11.03"
"Mid Yorkshire Hospitals NHS Trust",96.2,3752,950,"2013.11.03"
"George Eliot Hospital NHS Trust",94.5,1169,233,"2013.10.27"
"South Warwickshire NHS Foundation Trust",92.3,1101,328,"2013.10.27"
"University Hospitals Coventry And Warwickshire NHS Trust",98.6,2542,982,"2013.10.27"
"Worcestershire Acute Hospitals NHS Trust",93.2,2140,625,"2013.10.27"
"Wye Valley NHS Trust",92,917,192,"2013.10.27"
"Gloucestershire Hospitals NHS Foundation Trust",95.5,2278,813,"2013.10.27"
"Great Western Hospitals NHS Foundation Trust",89.6,1346,368,"2013.10.27"
"Royal United Hospital Bath NHS Trust",97.9,1327,525,"2013.10.27"
"Salisbury NHS Foundation Trust",93.3,819,242,"2013.10.27"
"Birmingham Children's Hospital NHS Foundation Trust",98.2,982,225,"2013.10.27"
"Heart Of England NHS Foundation Trust",89.8,4608,1496,"2013.10.27"
"Sandwell And West Birmingham Hospitals NHS Trust",87,2823,730,"2013.10.27"
"The Dudley Group NHS Foundation Trust",94.5,1868,483,"2013.10.27"
"The Royal Wolverhampton NHS Trust",95.1,2244,416,"2013.10.27"
"University Hospitals Birmingham NHS Foundation Trust",93.8,2025,561,"2013.10.27"
"Walsall Healthcare NHS Trust",89.6,1805,446,"2013.10.27"
"North Bristol NHS Trust",86.2,1380,461,"2013.10.27"
"Taunton And Somerset NHS Foundation Trust",95.1,1074,318,"2013.10.27"
"University Hospitals Bristol NHS Foundation Trust",93.3,1920,621,"2013.10.27"
"Weston Area Health NHS Trust",81.7,900,245,"2013.10.27"
"Yeovil District Hospital NHS Foundation Trust",96.2,817,226,"2013.10.27"
"Countess Of Chester Hospital NHS Foundation Trust",94.4,1315,373,"2013.10.27"
"East Cheshire NHS Trust",93.2,849,215,"2013.10.27"
"Mid Cheshire Hospitals NHS Foundation Trust",94.6,1095,266,"2013.10.27"
"Warrington And Halton Hospitals NHS Foundation Trust",94,1574,425,"2013.10.27"
"Wirral University Teaching Hospital NHS Foundation Trust",94.3,1718,534,"2013.10.27"
"City Hospitals Sunderland NHS Foundation Trust",87.3,1367,616,"2013.10.27"
"Gateshead Health NHS Foundation Trust",94,1291,339,"2013.10.27"
"North Cumbria University Hospitals NHS Trust",90.6,1520,378,"2013.10.27"
"Northumbria Healthcare NHS Foundation Trust",97.5,2743,744,"2013.10.27"
"South Tyneside NHS Foundation Trust",92.2,1154,256,"2013.10.27"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",96.1,2240,483,"2013.10.27"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",93.4,1656,485,"2013.10.27"
"Chesterfield Royal Hospital NHS Foundation Trust",95.7,1335,360,"2013.10.27"
"Derby Hospitals NHS Foundation Trust",92.9,2238,738,"2013.10.27"
"Nottingham University Hospitals NHS Trust",89.8,3138,838,"2013.10.27"
"Sherwood Forest Hospitals NHS Foundation Trust",93.2,1718,498,"2013.10.27"
"Northern Devon Healthcare NHS Trust",95.3,702,233,"2013.10.27"
"Plymouth Hospitals NHS Trust",97.8,1678,480,"2013.10.27"
"Royal Cornwall Hospitals NHS Trust",93.2,1036,428,"2013.10.27"
"Royal Devon And Exeter NHS Foundation Trust",92.7,1900,510,"2013.10.27"
"South Devon Healthcare NHS Foundation Trust",98.4,1472,479,"2013.10.27"
"County Durham And Darlington NHS Foundation Trust",85,2481,763,"2013.10.27"
"North Tees And Hartlepool NHS Foundation Trust",93.5,1308,317,"2013.10.27"
"South Tees Hospitals NHS Foundation Trust",95,2335,586,"2013.10.27"
"Cambridge University Hospitals NHS Foundation Trust",93.7,2056,684,"2013.10.27"
"Hinchingbrooke Health Care NHS Trust",95.8,762,178,"2013.10.27"
"Ipswich Hospital NHS Trust",96.2,1463,373,"2013.10.27"
"James Paget University Hospitals NHS Foundation Trust",96.8,1265,205,"2013.10.27"
"Norfolk And Norwich University Hospitals NHS Foundation Trust",91.5,1887,613,"2013.10.27"
"Peterborough And Stamford Hospitals NHS Foundation Trust",88.6,1627,584,"2013.10.27"
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",95.3,1029,335,"2013.10.27"
"West Suffolk NHS Foundation Trust",97.3,1091,302,"2013.10.27"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",92.9,2327,438,"2013.10.27"
"Colchester Hospital University NHS Foundation Trust",96,1509,407,"2013.10.27"
"Mid Essex Hospital Services NHS Trust",98.1,1513,350,"2013.10.27"
"Southend University Hospital NHS Foundation Trust",98.8,1733,325,"2013.10.27"
"The Princess Alexandra Hospital NHS Trust",94.3,2063,530,"2013.10.27"
"Bolton NHS Foundation Trust",97.1,2170,453,"2013.10.27"
"Central Manchester University Hospitals NHS Foundation Trust",93.5,3570,923,"2013.10.27"
"Pennine Acute Hospitals NHS Trust",91.8,4842,1187,"2013.10.27"
"Salford Royal NHS Foundation Trust",94.5,1739,628,"2013.10.27"
"Stockport NHS Foundation Trust",94.4,1593,533,"2013.10.27"
"Tameside Hospital NHS Foundation Trust",95.1,1500,435,"2013.10.27"
"University Hospital Of South Manchester NHS Foundation Trust",95,1832,586,"2013.10.27"
"Wrightington, Wigan And Leigh NHS Foundation Trust",95,1760,490,"2013.10.27"
"Bedford Hospital NHS Trust",90.2,1198,248,"2013.10.27"
"East And North Hertfordshire NHS Trust",97.2,2319,591,"2013.10.27"
"Kettering General Hospital NHS Foundation Trust",89.6,1454,441,"2013.10.27"
"Luton And Dunstable University Hospital NHS Foundation Trust",98.6,1515,480,"2013.10.27"
"Milton Keynes Hospital NHS Foundation Trust",90.9,1582,379,"2013.10.27"
"Northampton General Hospital NHS Trust",90.9,1941,463,"2013.10.27"
"West Hertfordshire Hospitals NHS Trust",89.9,1607,474,"2013.10.27"
"Dartford And Gravesham NHS Trust",94.2,1877,555,"2013.10.27"
"East Kent Hospitals University NHS Foundation Trust",85.2,2712,798,"2013.10.27"
"Maidstone And Tunbridge Wells NHS Trust",95.1,2399,651,"2013.10.27"
"Medway NHS Foundation Trust",90,1858,205,"2013.10.27"
"Blackpool Teaching Hospitals NHS Foundation Trust",95.7,1583,403,"2013.10.27"
"East Lancashire Hospitals NHS Trust",77.6,2003,711,"2013.10.27"
"Lancashire Teaching Hospitals NHS Foundation Trust",92.6,2345,441,"2013.10.27"
"United Lincolnshire Hospitals NHS Trust",94.4,2716,708,"2013.10.27"
"University Hospitals Of Leicester NHS Trust",81,2298,732,"2013.10.27"
"Barking, Havering And Redbridge University Hospitals NHS Trust",86.1,3832,963,"2013.10.27"
"Barnet And Chase Farm Hospitals NHS Trust",87.9,3026,552,"2013.10.27"
"Barts Health NHS Trust",94,5786,1512,"2013.10.27"
"Chelsea And Westminster Hospital NHS Foundation Trust",98.1,2146,315,"2013.10.27"
"Croydon Health Services NHS Trust",82.1,1271,577,"2013.10.27"
"Ealing Hospital NHS Trust",94.5,836,402,"2013.10.27"
"Epsom And St Helier University Hospitals NHS Trust",96.5,2608,600,"2013.10.27"
"Guy's And St Thomas' NHS Foundation Trust",95.6,2722,620,"2013.10.27"
"Homerton University Hospital NHS Foundation Trust",94,2173,321,"2013.10.27"
"Imperial College Healthcare NHS Trust",90.1,2705,984,"2013.10.27"
"King's College Hospital NHS Foundation Trust",88.6,4032,798,"2013.10.27"
"Kingston Hospital NHS Foundation Trust",95.3,1982,301,"2013.10.27"
"Lewisham And Greenwich NHS Trust",89.4,4330,1002,"2013.10.27"
"North Middlesex University Hospital NHS Trust",93.9,2510,337,"2013.10.27"
"North West London Hospitals NHS Trust",87.2,2001,733,"2013.10.27"
"Royal Free London NHS Foundation Trust",95.5,1861,367,"2013.10.27"
"St George's Healthcare NHS Trust",88.4,2604,950,"2013.10.27"
"The Hillingdon Hospitals NHS Foundation Trust",88.8,1077,431,"2013.10.27"
"The Whittington Hospital NHS Trust",97.2,1889,384,"2013.10.27"
"University College London Hospitals NHS Foundation Trust",91,2557,282,"2013.10.27"
"West Middlesex University Hospital NHS Trust",90.9,1203,465,"2013.10.27"
"Aintree University Hospital NHS Foundation Trust",93.6,1537,418,"2013.10.27"
"Alder Hey Children's NHS Foundation Trust",99.2,932,287,"2013.10.27"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",92.9,1699,543,"2013.10.27"
"Southport And Ormskirk Hospital NHS Trust",90.9,864,277,"2013.10.27"
"St Helens And Knowsley Hospitals NHS Trust",97.4,1745,579,"2013.10.27"
"Harrogate And District NHS Foundation Trust",96.8,810,202,"2013.10.27"
"Hull And East Yorkshire Hospitals NHS Trust",96,2407,792,"2013.10.27"
"Northern Lincolnshire And Goole NHS Foundation Trust",91.1,2122,565,"2013.10.27"
"York Teaching Hospital NHS Foundation Trust",90,2591,611,"2013.10.27"
"Burton Hospitals NHS Foundation Trust",97.3,1129,287,"2013.10.27"
"Mid Staffordshire NHS Foundation Trust",93,886,250,"2013.10.27"
"Shrewsbury And Telford Hospital NHS Trust",92.6,1887,485,"2013.10.27"
"University Hospital Of North Staffordshire NHS Trust",94.5,2285,802,"2013.10.27"
"Barnsley Hospital NHS Foundation Trust",92.6,1548,349,"2013.10.27"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",89.5,2657,591,"2013.10.27"
"Sheffield Children's NHS Foundation Trust",95.3,1052,179,"2013.10.27"
"Sheffield Teaching Hospitals NHS Foundation Trust",96.5,2249,684,"2013.10.27"
"The Rotherham NHS Foundation Trust",89.9,1426,244,"2013.10.27"
"Ashford And St Peter's Hospitals NHS Foundation Trust",92.9,1814,435,"2013.10.27"
"Brighton And Sussex University Hospitals NHS Trust",92.6,2619,750,"2013.10.27"
"East Sussex Healthcare NHS Trust",95,2010,563,"2013.10.27"
"Frimley Park Hospital NHS Foundation Trust",94.8,2021,594,"2013.10.27"
"Royal Surrey County Hospital NHS Foundation Trust",93.2,1233,287,"2013.10.27"
"Surrey And Sussex Healthcare NHS Trust",98,1525,518,"2013.10.27"
"Western Sussex Hospitals NHS Foundation Trust",97.1,2628,702,"2013.10.27"
"Buckinghamshire Healthcare NHS Trust",91.8,1430,539,"2013.10.27"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",94.9,1820,584,"2013.10.27"
"Oxford University Hospitals NHS Trust",93.4,2323,721,"2013.10.27"
"Royal Berkshire NHS Foundation Trust",90.2,1938,560,"2013.10.27"
"Dorset County Hospital NHS Foundation Trust",96.2,757,234,"2013.10.27"
"Hampshire Hospitals NHS Foundation Trust",96.1,1874,433,"2013.10.27"
"Isle Of Wight NHS Trust",92.7,741,143,"2013.10.27"
"Poole Hospital NHS Foundation Trust",96.8,1126,362,"2013.10.27"
"Portsmouth Hospitals NHS Trust",93.6,1990,713,"2013.10.27"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",91.9,1277,340,"2013.10.27"
"University Hospital Southampton NHS Foundation Trust",91,1946,461,"2013.10.27"
"Airedale NHS Foundation Trust",91.6,1024,240,"2013.10.27"
"Bradford Teaching Hospitals NHS Foundation Trust",95.6,2470,623,"2013.10.27"
"Calderdale And Huddersfield NHS Foundation Trust",94.8,2670,560,"2013.10.27"
"Leeds Teaching Hospitals NHS Trust",96.1,4008,1449,"2013.10.27"
"Mid Yorkshire Hospitals NHS Trust",93.3,4389,1080,"2013.10.27"
"George Eliot Hospital NHS Trust",87.4,1155,246,"2013.10.20"
"South Warwickshire NHS Foundation Trust",95.9,1109,322,"2013.10.20"
"University Hospitals Coventry And Warwickshire NHS Trust",97.9,2473,938,"2013.10.20"
"Worcestershire Acute Hospitals NHS Trust",94.5,2279,618,"2013.10.20"
"Wye Valley NHS Trust",92.4,1034,228,"2013.10.20"
"Gloucestershire Hospitals NHS Foundation Trust",93.4,2387,772,"2013.10.20"
